x	y	new_x	new_y	pixel_x	pixel_y	selected
2	2	1.8623843529772928	2.0155532221088492	5169	2474	0
3	2	2.72939778460457	2.0401599011613647	5792	2490	0
4	2	3.879985557330225	1.985608361761666	6619	2449	0
5	2	4.895988029879698	2.0006687181412905	7356	2458	0
6	2	5.864195387021284	2.0253198734847953	8053	2482	0
7	2	6.928832729748008	1.9705829021642025	8815	2441	0
8	2	7.839446673903759	1.9914487830191983	9470	2458	0
9	2	8.89287593207218	1.9487748081908631	10224	2425	0
10	2	9.82062142965191	1.9667127805974984	10895	2433	0
11	2	10.81971966650057	1.9371254412048065	11616	2417	0
12	2	12.058868199654755	2.038048987965947	12501	2490	0
13	2	12.968970505143082	1.9949145124632146	13156	2458	0
14	2	13.894983660930382	1.999214685551254	13828	2458	0
15	2	15.008534633488752	1.989691969525119	14623	2449	0
16	2	15.949199007420985	2.014665749040954	15303	2474	0
17	2	17.015460941949033	1.9932805219573289	16073	2458	0
18	2	18.025082529541574	1.9902239743904147	16794	2449	0
19	2	18.96469581968964	1.9700481602963844	17474	2441	0
20	2	19.989143806057804	1.952526212273157	18211	2425	0
21	2	20.925851322252278	1.9618094405785804	18883	2433	0
22	2	21.95210116653616	1.9241339166068174	19620	2408	0
23	2	23.196189515411447	2.01382480501594	20513	2474	0
24	2	24.113980304135826	1.9990682559163044	21176	2458	0
25	2	25.019038519718112	1.9860859687018286	21823	2449	0
26	2	26.08953120550968	1.9909030931412905	22594	2449	0
27	2	27.139171834958717	1.9533849468145668	23355	2425	0
28	2	28.179944987720674	1.9836859596149803	24101	2449	0
29	2	29.14202588891657	1.9644229358621776	24789	2433	0
30	2	30.104888151338272	1.928250026275224	25485	2408	0
31	2	31.152618477719248	1.9227561779620934	26239	2400	0
32	2	32.096405515909744	1.93040986339073	26919	2408	0
2	3	1.8003113210065496	3.0158236379580647	5128	3203	0
3	3	2.7967276258186216	2.9956016369464686	5841	3187	0
4	3	3.8486838373344963	2.999646242423977	6603	3187	0
5	3	4.864608451825882	3.009046477587234	7332	3195	0
6	3	5.872610313745729	2.9857203735898965	8053	3178	0
7	3	6.908839892689351	2.9766985290253642	8798	3170	0
8	3	7.842616609125855	2.9776345838880327	9470	3178	0
9	3	8.851050861332572	2.9554268875464196	10199	3162	0
10	3	9.836758902512816	2.953242759533527	10904	3154	0
11	3	10.810371138240319	2.9406983927226387	11608	3146	0
12	3	12.052725755000713	3.018479898906075	12501	3203	0
13	3	12.987447890713982	3.0171469786776557	13173	3203	0
14	3	13.882766897423123	3.0105460128442054	13820	3195	0
15	3	14.995945263560648	2.975608175645495	14615	3170	0
16	3	15.970947821753986	3.0044979215202843	15319	3195	0
17	3	17.053451503327878	2.9468480952652047	16097	3154	0
18	3	18.023202813567767	2.9729112017849637	16794	3170	0
19	3	19.012931667319197	2.9513046196223374	17506	3154	0
20	3	19.943769242062928	2.936813559767377	18178	3146	0
21	3	21.00371216098377	2.9387000387559556	18940	3146	0
22	3	21.90866193141372	2.9701974637839825	19587	3170	0
23	3	23.19358961240034	3.0180874811694225	20513	3203	0
24	3	24.13338920575883	3.003284745152221	21193	3195	0
25	3	25.021015558264523	3.000256593986477	21832	3195	0
26	3	26.113839603502278	2.995029945544598	22610	3187	0
27	3	27.107244469853363	2.958866957591788	23331	3162	0
28	3	28.150211551466402	2.9695101340255396	24076	3170	0
29	3	29.168447577057233	2.9575022197090455	24814	3162	0
30	3	30.12197521444334	2.932097362295929	25494	3138	0
31	3	31.128346228110765	2.906150920508688	26223	3121	0
32	3	32.09363043226794	2.9373188788580786	26919	3146	0
2	4	1.8678802976847244	4.0164632070224915	5177	3932	0
3	4	2.72055255307695	4.027421822996952	5792	3940	0
4	4	3.9007041427160454	3.9810847124176703	6636	3908	0
5	4	4.884841119509894	4.013542483205752	7348	3932	0
6	4	5.901667358120373	4.020340513220816	8077	3940	0
7	4	6.870383573284454	3.989874253893112	8774	3916	0
8	4	7.916089590155183	3.957411351225301	9527	3891	0
9	4	8.880927500800825	3.9793894814803457	10215	3908	0
10	4	9.821717003754985	3.9546271354093676	10895	3891	0
11	4	10.834498794312358	3.9255304037188194	11624	3867	0
12	4	12.023508128381264	4.044366605613263	12476	3957	0
13	4	12.998962541375997	4.0004520843916405	13181	3924	0
14	4	13.865930092361904	4.000366553062815	13804	3924	0
15	4	14.999453047141941	4.013563352849985	14623	3932	0
16	4	15.977692276035734	4.012697433676954	15327	3932	0
17	4	17.070615034168565	4.024663677130045	16114	3944	0
18	4	18.03457565133827	3.973827892354785	16802	3899	0
19	4	18.944691860051257	3.9737546775373103	17457	3899	0
20	4	20.026841009396357	3.944653840342979	18235	3883	0
21	4	21.018341133969248	3.9625883914964612	18948	3891	0
22	4	21.91668965333143	3.976036311265064	19595	3908	0
24	4	23.735763097949885	4.056053811659193	20908	3967	0
25	4	25.104783599088837	3.995515695067265	21892	3922	0
26	4	26.123218718856776	4.0220521661732755	22618	3940	0
27	4	27.15768814955866	3.968817124986862	23364	3899	0
28	4	28.20975906267796	3.98580296264101	24125	3908	0
