x	y	new_x	new_y	pixel_x	pixel_y	selected
2	2	1.9933785810965712	1.954236623403188	4268	3129	0
3	2	2.865465564598618	1.9670588175455725	4899	3138	0
4	2	3.972906452807562	1.99049136874912	5702	3154	0
5	2	4.9204269650289225	2.014115342148789	6390	3170	0
6	2	5.989716747275324	2.0167086489565733	7168	3170	0
7	2	6.925796267679529	2.0073018116993944	7848	3170	0
8	2	7.968066626693003	2.0032819455808344	8602	3162	0
9	2	8.870141436230247	1.9563250842395126	9257	3129	0
11	2	10.869209513438207	1.9929286510020758	10715	3154	0
12	2	11.968725475716	2.106992910574148	11510	3236	0
13	2	13.006199132777231	2.0110013807142098	12263	3170	0
14	2	13.874876827472487	2.0227341523041593	12894	3178	0
15	2	14.997795569977427	1.976592467711852	13705	3146	0
16	2	15.952700922774408	1.9843792614636118	14402	3154	0
17	2	16.9594627363149	2.0399140366562847	15131	3187	0
18	2	17.9718210465752	2.0180420746674406	15868	3178	0
19	2	19.02718365326961	1.9977478852143156	16630	3162	0
20	2	19.930687209015236	1.957420005454673	17285	3129	0
21	2	20.9347169070965	1.9600885752085089	18014	3129	0
22	2	21.94246382530333	1.9880197198541312	18751	3154	0
23	2	23.030231553329575	2.0839438910956853	19538	3219	0
24	2	24.0447460717057	1.9869670696086708	20275	3154	0
25	2	24.913467855001414	2.0373956491281318	20906	3187	0
26	2	26.0257323116535	1.979992359608143	21709	3146	0
27	2	27.055123977144472	1.9801549138249575	22462	3146	0
28	2	28.069787294547126	1.9852205568605712	23192	3154	0
29	2	28.984140779310106	1.9839575827658709	23855	3146	0
30	2	29.999346937605818	1.95544873486768	24592	3129	0
31	2	31.007231632689052	1.9536084011868309	25330	3129	0
32	2	32.004711418065746	1.921072470175253	26051	3105	0
2	3	1.969725735838741	2.9408094388944606	4252	3842	0
3	3	2.819003068566592	2.9458479322828683	4866	3850	0
4	3	3.951233461263756	2.9741622649871546	5693	3867	0
5	3	4.943348903957393	3.007584511696755	6406	3891	0
6	3	6.003737611103273	3.034304575877146	7176	3916	0
7	3	6.9174697221536405	3.0087151742196294	7840	3891	0
8	3	7.9831173726721225	2.9904575519733596	8618	3883	0
9	3	8.895101095160834	2.98060841603322	9282	3875	0
10	3	9.894035804352427	2.9608482841972825	10002	3858	0
11	3	10.879571712313066	2.9954572110562707	10715	3883	0
12	3	11.920641345848619	3.092120608767947	11477	3957	0
13	3	13.169300225733634	2.9977477477477477	12385	3891	0
15	3	14.966843994691732	2.9678766061593813	13689	3867	0
16	3	15.949489343785272	2.991232863417616	14402	3883	0
17	3	17.023235519099185	3.002140835598782	15180	3891	0
18	3	17.975715998871333	2.9814768610773856	15868	3875	0
19	3	19.030093500899408	2.9780958708342125	16638	3875	0
20	3	19.915088111068002	2.9613751248196434	17277	3858	0
