x	y	new_x	new_y	pixel_x	pixel_y	selected
2	2	1.9456504027767958	1.9741852906373172	3482	1821	0
3	2	2.9633764206554005	2.0112761763839035	3851	1837	0
4	2	3.7940296846277564	1.9996722797015767	4150	1833	0
5	2	4.918571368601526	1.9728199039493597	4559	1821	0
6	2	5.909282425410069	2.129638671875	4916	1878	0
7	2	6.85809326171875	2.0233952290303	5260	1841	0
8	2	7.895873194905966	2.0466006167300113	5637	1850	0
9	2	8.76915095402644	2.0280883376662797	5952	1841	0
10	2	9.837952488687783	1.9665369944529492	6337	1821	0
11	2	10.838028713588802	1.9410204500765416	6702	1809	0
12	2	12.027799994697398	1.9294289253853465	7132	1805	0
14	2	13.94776854364041	1.986288190961958	7828	1825	0
16	2	15.97134357987486	1.9628731667458474	8561	1817	0
17	2	16.862480336184955	2.011089221851246	8881	1837	0
18	2	17.948850881999434	2.0206321510108745	9274	1841	0
19	2	18.80776466611284	2.015813260465055	9585	1837	0
20	2	19.95004175798925	2.0179185609559758	9999	1837	0
21	2	20.76414303326499	1.9469057375246341	10294	1813	0
22	2	21.944991029765273	1.9393375156162023	10724	1809	0
23	2	23.126703460831447	1.9111431224926099	11150	1800	0
24	2	23.963677729956164	1.9447165824271537	11453	1813	0
25	2	25.075514573317303	1.9769700196412234	11854	1825	0
26	2	26.023517591381506	1.9832384951479802	12198	1825	0
27	2	27.019771524144513	1.976659345197248	12559	1825	0
30	2	29.945805200084838	2.0100815919068484	13620	1837	0
31	2	30.906136767357186	1.9943935634853605	13968	1829	0
32	2	31.8958370156957	1.9342973038956928	14324	1809	0
2	3	1.92949403788709	2.9676025665558137	3474	2186	0
3	3	3.0162194713747867	3.0019324362814963	3867	2198	0
4	3	3.8357904356529264	3.0086243088180953	4166	2198	0
5	3	4.932394036340497	2.97161830867733	4564	2186	0
7	3	6.9301492682409505	3.0024427809156813	5284	2198	0
8	3	7.764379717106192	3.0193394841374577	5588	2202	0
10	3	9.721151636736424	2.9450058120865004	6296	2177	0
11	3	10.887527949130375	2.9451047880155548	6718	2177	0
12	3	12.005854956165159	2.9037575936532236	7124	2161	0
13	3	12.899554636683398	2.9278706043690175	7447	2169	0
14	3	13.998883415670953	2.952081903681025	7844	2177	0
15	3	14.83651636736425	2.9462739411775054	8148	2177	0
16	3	16.007833489465497	2.9313663791965796	8574	2169	0
18	3	17.960674026972566	2.981937923946896	9278	2190	0
19	3	18.82468051824095	2.9879163449948973	9593	2190	0
22	3	21.886927539946267	2.9202841681403084	10703	2165	0
23	3	23.062321037188912	2.8922031849354237	11125	2157	0
24	3	23.956762253429012	2.9421465074693836	11449	2173	0
26	3	25.889107682586257	2.9400384576471	12149	2173	0
28	3	27.977084474865666	3.000121314246375	12907	2198	0
30	3	29.90502211626838	2.9785294403900973	13603	2190	0
31	3	30.83270954114819	2.9907007303323834	13939	2194	0
32	3	32.00558706430289	2.906987714337873	14365	2161	0
2	4	1.8672796050887301	3.941924361495285	3454	2538	0
3	4	2.986488998205952	3.975113602371904	3859	2550	0
4	4	3.8583672294789304	3.9664085319450315	4174	2546	0
5	4	4.963952802425056	3.9601565524264504	4576	2546	0
6	4	5.822460606087388	4.012275627067497	4883	2562	0
7	4	6.935393872843608	4.011804116738809	5289	2562	0
8	4	7.814838668339931	4.007572895771749	5608	2562	0
9	4	8.726741186633907	3.9983708837010843	5936	2558	0
10	4	9.774398596578054	3.9536433864284213	6317	2542	0
11	4	10.822039435891545	3.9295035697318417	6693	2534	0
12	4	11.976208717035492	3.897598266601563	7111	2521	0
13	4	12.968824015483596	3.9364483807538013	7472	2538	0
14	4	13.89219893373515	3.956565925666878	7808	2542	0
15	4	14.879147076498866	3.9658669136665967	8164	2546	0
