x	y	new_x	new_y	pixel_x	pixel_y	selected
2	2	1.954120150479404	2.1733589343425943	4915	3367	0
3	2	2.9347366333007816	2.097742055029078	5628	3318	0
4	2	3.8549137462269183	2.113751467033352	6291	3326	0
5	2	4.950342213023793	2.097005117099916	7078	3318	0
6	2	5.915511252663353	2.0909946595606783	7774	3310	0
7	2	6.903259832208807	2.118925428176675	8487	3334	0
8	2	7.904856456409802	2.092345712430809	9208	3310	0
9	2	8.892660522460938	2.083838424340492	9921	3301	0
10	2	9.924494517933239	2.0906576661251055	10666	3310	0
11	2	10.802044122869319	2.127983538024629	11297	3334	0
12	2	11.930147205699575	2.1813307963144624	12108	3375	0
13	2	13.045381580699575	2.123125358547331	12911	3334	0
14	2	14.071389493075285	2.0684157572519624	13656	3293	0
15	2	15.0050068248402	2.0402585016772354	14328	3269	0
16	2	16.03758711381392	2.0439308748116947	15073	3277	0
17	2	17.01350597034801	2.0483613976448645	15770	3277	0
18	2	18.102272727272727	2.089686098654709	16563	3313	0
19	2	18.99772727272727	2.071748878923767	17208	3300	0
20	2	20.1	2.024663677130045	18003	3265	0
21	2	20.954545454545453	2	18619	3247	0
22	2	21.956818181818182	2.065022421524664	19341	3295	0
23	2	23.179545454545455	2.130044843049327	20223	3342	0
24	2	24.15681818181818	2.096412556053812	20927	3318	0
25	2	25.118181818181817	2.071748878923767	21620	3300	0
26	2	26.145454545454545	2.0807174887892375	22361	3306	0
27	2	26.975	2.071748878923767	22959	3300	0
28	2	28.15	2.065022421524664	23806	3295	0
29	2	29.004545454545454	2.031390134529148	24422	3270	0
30	2	30.10681818181818	2.071748878923767	25217	3300	0
2	3	1.9500394647771668	3.072717735051039	4915	4030	0
3	3	2.9772727272727275	3.085201793721973	5659	4040	0
5	3	4.909090909090909	3.094170403587444	7052	4047	0
6	3	5.907288846102628	3.091746445728524	7766	4039	0
7	3	6.923658058860085	3.113597305366276	8503	4055	0
8	3	7.915909090909091	3.109865470852018	9219	4058	0
9	3	8.9	3.0291479820627805	9929	3999	0
10	3	9.958807373046875	3.059524399282686	10691	4014	0
11	3	10.811446311257102	3.0779468211357903	11305	4030	0
12	3	11.950578724254262	3.164963658080507	12124	4096	0
13	3	13.05727372602983	3.1338890999421944	12919	4071	0
14	3	14.070712557705967	3.0481466797969796	13656	4006	0
15	3	15.005675437233664	3.029904215859725	14328	3998	0
16	3	16.046141745827416	3.0386294377758896	15073	4006	0
17	3	17.04780495383523	3.0060765561501537	15802	3981	0
18	3	18.020454545454545	3.094170403587444	16504	4047	0
19	3	19.01185247247869	3.054399362059452	17211	4014	0
20	3	20.02972745028409	3.0387628666488578	17949	4006	0
21	3	21.036363636363635	2.9641255605381165	18678	3952	0
22	3	21.922727272727272	3.085201793721973	19317	4040	0
23	3	23.056993519176135	3.158046226330402	20128	4088	0
24	3	24.15	3.125560538116592	20922	4070	0
25	3	25.18409090909091	3.0605381165919283	21668	4022	0
26	3	26.14020940607244	3.025415873848269	22356	3990	0
27	3	27.10681818181818	2.9955156950672643	23054	3975	0
28	3	28.20909090909091	3.0291479820627805	23849	3999	0
29	3	29.157887406782667	3.083332557849285	24527	4039	0
30	3	30.154545454545456	3.0381165919282513	25251	4006	0
31	3	31.125	2.9887892376681613	25951	3970	0
32	3	32.124462335759944	3.0391022549616378	26665	4006	0
2	4	1.9500394647771668	4.072901946984162	4915	4760	0
3	4	3.009518571333452	4.094379921130535	5677	4776	0
4	4	3.959306751598012	4.050474295167111	6365	4743	0
5	4	4.902391468394887	4.073517803654008	7045	4760	0
6	4	5.92098222212358	4.049406179932736	7774	4743	0
7	4	6.88729775168679	4.112818422873459	8471	4784	0
8	4	8.029545454545454	4.067264573991031	9301	4758	0
9	4	8.846970159357245	4.056698238903097	9888	4743	0
10	4	9.919599220969461	4.056980834413538	10658	4743	0
11	4	10.839478093927557	4.084742250998459	11321	4768	0
12	4	12.015540937943893	4.158824698272842	12173	4817	0
13	4	13.007832475142045	4.149425831610847	12886	4817	0
14	4	14.033949973366477	4.086479563349566	13623	4768	0
15	4	15.062044178355825	4.0855927745323015	14369	4768	0
16	4	16.001239291104405	4.081616594117854	15041	4768	0
17	4	17.043181818181818	4.114349775784754	15799	4792	0
18	4	17.988636363636363	4.154708520179373	16481	4822	0
19	4	19.104545454545455	4.073991031390134	17285	4763	0
20	4	19.982414106889202	4.062569793564323	17916	4751	0
21	4	21.015198308771303	4.094828105293582	18661	4776	0
22	4	21.925501598011362	4.093451393024805	19317	4776	0
23	4	23.213636363636365	4.114349775784754	20247	4792	0
24	4	24.181818181818183	4.082959641255606	20945	4769	0
25	4	25.21589299982244	4.018338464300729	21684	4719	0
26	4	26.185877574573862	3.9944410110268365	22389	4702	0
27	4	27.197727272727274	4.026905829596412	23119	4728	0
28	4	28.117332319779827	4.0214511204193535	23781	4719	0
29	4	29.156899746981534	4.062619059609726	24527	4751	0
30	4	30.148601740056815	4.042366609445068	25240	4735	0
31	4	31.115909090909092	4.017937219730942	25944	4722	0
32	4	32.105780029296874	4.072819868010791	26657	4760	0
2	5	1.9500394647771668	5.075505308446804	4915	5489	0
3	5	2.952272727272727	5.096412556053812	5641	5510	0
4	5	3.941857632723722	5.0992751869920125	6349	5505	0
5	5	4.907494146173651	5.088035001883058	7045	5497	0
6	5	5.927272727272728	5.056053811659193	7786	5480	0
7	5	6.9350300181995745	5.120255679827634	8511	5521	0
8	5	8.029545454545454	5.103139013452915	9301	5515	0
9	5	8.868181818181817	5.0874439461883405	9906	5503	0
10	5	9.936363636363636	5.038116591928251	10676	5467	0
11	5	10.856818181818182	5.015695067264574	11339	5451	0
12	5	11.99090909090909	5.143497757847534	12157	5544	0
13	5	13.065909090909091	5.143497757847534	12932	5544	0
14	5	14.093181818181819	5.062780269058296	13672	5485	0
15	5	15.013636363636364	5.056053811659193	14336	5480	0
16	5	16.006818181818183	5.038116591928251	15052	5467	0
17	5	17.01818181818182	5.022421524663677	15781	5456	0
18	5	18.054545454545455	5.015695067264574	16528	5451	0
19	5	19.047727272727272	5.0807174887892375	17244	5498	0
20	5	20	5.031390134529148	17931	5462	0
21	5	21.011363636363637	5.038116591928251	18660	5467	0
22	5	21.972727272727273	5.0874439461883405	19353	5503	0
23	5	23.12272727272727	5.186098654708521	20182	5575	0
24	5	24.115909090909092	5.177130044843049	20898	5569	0
25	5	25.153981156782667	5.073427619420894	21643	5489	0
26	5	26.136292058771303	5.043211795823991	22348	5464	0
27	5	27.16590909090909	5.031390134529148	23097	5462	0
28	5	28.130507590553975	5.050835032099566	23790	5472	0
29	5	29.088310102982952	5.098364449402677	24478	5505	0
30	5	30.147727272727273	5.103139013452915	25246	5515	0
31	5	31.081707208806815	5.0427608746584225	25911	5464	0
32	5	32.14856012517755	5.063382135912977	26681	5480	0
2	6	1.9500394647771668	6.051802578591256	4915	6201	0
3	6	2.992181119051847	6.0536104895074265	5669	6201	0
4	6	3.8753674593838783	6.091818360469801	6300	6234	0
5	6	4.9438447432084525	6.064628977412065	7070	6210	0
6	6	5.8800068248401995	6.055890412608604	7750	6210	0
7	6	6.926127208362927	6.086010441117222	8503	6226	0
8	6	7.913107299804688	6.082373649015555	9216	6226	0
9	6	8.904212812943893	6.0653207547996075	9929	6218	0
10	6	9.886363636363637	6.125560538116592	10640	6262	0
11	6	10.855877130681819	6.095685060783351	11338	6234	0
12	6	11.981818181818182	6.2152466367713	12150	6328	0
13	6	13.057617742365057	6.130093972244604	12919	6259	0
14	6	14.053162175958807	6.0719210363824265	13640	6218	0
15	6	15.004969371448864	6.049707523910453	14328	6201	0
16	6	16.03181818181818	6.051569506726457	15070	6208	0
17	6	17.068181818181817	6.085201793721973	15817	6232	0
18	6	18.004545454545454	6.174887892376682	16492	6298	0
19	6	19.04385986328125	6.044401160270109	17236	6201	0
20	6	19.993181818181817	5.979820627802691	17926	6155	0
21	6	21.077272727272728	6.069506726457399	18707	6221	0
22	6	21.956818181818182	6.051569506726457	19341	6208	0
23	6	23.154545454545456	6.174887892376682	20205	6298	0
24	6	24.222727272727273	6.109865470852018	20975	6250	0
25	6	25.214594615589487	6.0143522938270735	21684	6177	0
26	6	26.17785977450284	5.9835938594801	22381	6152	0
27	6	27.081818181818182	5.979820627802691	23036	6155	0
28	6	28.19992120916193	5.992193521405548	23839	6160	0
29	6	29.120454545454546	6.132286995515695	24506	6267	0
30	6	30.188636363636363	6.091928251121076	25276	6237	0
31	6	31.092432750355112	6.002987575103349	25919	6169	0
32	6	32.16725352894176	5.996054747714055	26698	6160	0
2	7	1.9500394647771668	7.0648628542776075	4915	6947	0
3	7	2.9617065429687504	7.077094107999929	5644	6955	0
4	7	3.9409816395152704	7.078154012226737	6349	6955	0
5	7	4.827877252752131	7.078661726194646	6988	6955	0
6	7	5.969553028453481	7.033518290840456	7815	6922	0
7	7	6.8736591685901995	7.10362387344976	8462	6971	0
8	7	7.967060990767046	7.064245249658421	9249	6947	0
9	7	8.850360384854405	7.057703129379203	9888	6939	0
10	7	9.933688631924717	7.056238833029708	10666	6939	0
11	7	10.84693964177912	7.074153198789587	11330	6955	0
12	7	11.981818181818182	7.154708520179372	12150	7014	0
13	7	13.041759699041194	7.122150643524032	12911	6988	0
14	7	14.01869950727983	7.083873663247967	13615	6955	0
15	7	15.088636363636363	7.098654708520179	14390	6973	0
16	7	15.95	7.114349775784754	15011	6984	0
17	7	17.01818181818182	7.00896860986547	15781	6907	0
18	7	17.995454545454546	7.098654708520179	16486	6973	0
19	7	19.094524591619315	7.05728231524138	17277	6939	0
20	7	19.94661421342329	7.040384745918581	17891	6930	0
21	7	21.052272727272726	7.033632286995516	18689	6926	0
22	7	21.897727272727273	7.098654708520179	19299	6973	0
23	7	23.131818181818183	7.154708520179372	20188	7014	0
24	7	24.15681818181818	7.089686098654709	20927	6966	0
25	7	25.19691106622869	7.042548346412555	21676	6930	0
26	7	26.141635409268464	7.00331067825112	22356	6898	0
27	7	27.131818181818183	7.033632286995516	23072	6926	0
28	7	28.18409090909091	7.024663677130045	23831	6919	0
29	7	29.120454545454546	7.065022421524664	24506	6948	0
30	7	30.261363636363637	7.0807174887892375	25328	6960	0
31	7	31.068181818181817	7.065022421524664	25910	6948	0
32	7	32.225	7.04932735426009	26744	6937	0
2	8	1.9500394647771668	8.068686670738002	4915	7676	0
3	8	2.892483659224077	8.081545979452775	5595	7684	0
4	8	3.9386363636363635	8.047085201793722	6352	7666	0
5	8	4.875	8.062780269058296	7027	7678	0
6	8	5.960111305930398	8.010555660778097	7807	7635	0
7	8	6.8488012140447445	8.107765095116312	8446	7709	0
8	8	7.9613195245916195	8.079649236704737	9249	7684	0
9	8	8.876224032315342	8.02370285239455	9904	7643	0
10	8	9.900642256303268	8.076450365006657	10650	7684	0
11	8	10.81218289462003	8.08999373773823	11305	7692	0
12	8	12.005735085227274	8.15965318893638	12165	7741	0
13	8	13.027151489257813	8.125936054862668	12902	7717	0
14	8	14.102272727272727	8.069506726457398	13679	7682	0
15	8	14.986937644264914	8.0291501716648	14311	7651	0
16	8	16.04817948774858	8.07396653521756	15081	7684	0
17	8	17.006957175514916	8.013066860592419	15770	7635	0
18	8	18.016588245738635	8.089578397605452	16499	7692	0
19	8	19.063712935014202	8.03740155001927	17252	7651	0
20	8	19.992127019708803	8.029903531609095	17924	7651	0
21	8	21.052272727272726	8.053811659192824	18689	7671	0
22	8	21.9059287331321	8.074957330130676	19300	7684	0
23	8	23.0785361550071	8.14881397469696	20144	7733	0
24	8	24.23212002840909	8.102561369070559	20980	7700	0
25	8	25.182420765269885	8.051570327827216	21660	7668	0
26	8	26.129128750887784	8.043094515265906	22348	7660	0
27	8	27.238636363636363	7.988789237668161	23149	7623	0
28	8	28.10909090909091	7.997757847533633	23776	7630	0
29	8	29.145454545454545	8.029147982062781	24524	7653	0
30	8	30.131818181818183	7.997757847533633	25235	7630	0
31	8	31.150152587890624	8.032175243702705	25969	7651	0
32	8	32.16531427556818	8.02961477784298	26698	7651	0
2	9	1.9500394647771668	9.043450486881468	4915	8389	0
